Word,Pronunciation (RU),Translation,Example EN,Example RU,Level
news,nив́s,новости,Is there any news about the storm?,Есть ли какие -нибудь новости о шторме?,A2
map,mэ́p,карта,I don't want to play this map again!,Я не хочу снова играть на этой карте!,A1
bed,bи́d,кровать,"My cat often sleeps on my bed.
i keep a glass of water next to my bed when i sleep.","Моя кошка часто спит на моей кровати.
Я держу стакан воды рядом с моей кроватью, когда сплю.",A1
picture,pиct́уrи,картина,There was a picture hanging above the fireplace.,Над камином висела картина.,B1
wall,вэĺl,стена,The town wall was surrounded by a moat.,Городская стена была окружена рвом.,A2
window,виnd́ов,окно,Launch window;  window of opportunity;  you have a two-hour window of clear weather to finish working on the lawn.,"Запуск окна;  окно возможностей;  У вас есть двухчасовое окно ясной погоды, чтобы закончить работу над газоном.",B1
box,bоќс,коробка,Understanding box is essential for success.,Понимание коробки необходимо для успеха.,A1
ball,bэĺl,мяч,A ball of spittle; a fecal ball,Шар с плевкой; фекальный мяч,A2
screen,scrи́иn,экран,A fire screen,Пожарный экран,B1
knife,knи́fи,нож,The concept of knife is interesting.,Концепция ножа интересна.,A2
spoon,spо́оn,ложка,Sarah spooned some apple sauce onto her plate.,Сара обнаружила немного яблочного соуса на свою тарелку.,A2
clock,clо́ck,часы,"This car has over 300,000 miles on the clock.",Этот автомобиль имеет более 300 000 миль на часах.,A2
coin,cои́n,монета,She spent some serious coin on that car!,Она провела серьезную монету на этой машине!,A2
device,dиvи́cи,устройство,"There are a number of household devices in a kitchen such as a dishwasher, a garbage disposal, or an electric can opener.","На кухне есть ряд бытовых устройств, таких как посудомоечная машина, утилизация мусора или электрическая банка.",B1
time,tиḿи,время,Time stops for nobody.   the ebb and flow of time,Время никого не останавливается.   Приливы и поток времени,A2
year,йиэ́r,год,We moved to this town a year ago;  i quit smoking exactly one year ago,Мы переехали в этот город год назад;  Я бросил курить ровно год назад,A2
hour,hоу́r,час,I spent an hour at lunch.,Я провел час за обедом.,A2
week,вии́k,неделя,"A 4-day week consists of monday, tuesday, wednesday, and thursday.","4-дневная неделя состоит из понедельника, вторника, среды и четверга.",A2
month,mоńс,месяц,July is my favourite month.,Июль - мой любимый месяц.,A2
day	день,dэй	д́ень,День Деяния,The day	день played an important role in the project.,День Дейн сыграл важную роль в проекте.,B2
evening,иvиńиng,вечер,It was the evening of the roman empire.,Это был вечер Римской империи.,B1
night,nиǵht,ночь,How do you sleep at night when you attack your kids like that!?,"Как ты спишь ночью, когда ты так нападаешь на своих детей!?",A2
morning,mоrńиng,утро,I'll see you tomorrow morning.,Увидимся завтра утром.,B1
January,jэnу́эrй,Январь,Modern january has many applications.,Современный январь имеет много приложений.,B1
February,fиbrу́эrй,Февраль,Modern february has many applications.,В современном феврале много приложений.,B2
March,mэŕч,Маршировать,The march of time,Марш времени,A2
April,эpŕиl,Апрель,Modern april has many applications.,Современный апрель имеет много приложений.,A2
May	май,mэй	́май,Мэй,The may	май played an important role in the project.,Май май сыграл важную роль в проекте.,B1
June,jуńи,Июнь,Modern june has many applications.,Современный июнь имеет много приложений.,A2
July,jуĺй,Июль,Everything went july during the meeting.,Все пошло в июле во время встречи.,A2
August,эуgу́st,Август,An august patron of the arts,Августовский покровитель искусства,B1
September,sиptи́mbиr,Сентябрь,Modern september has many applications.,Современный сентябрь имеет много приложений.,B2
October,оctо́bиr,Октябрь,The concept of october is interesting.,Концепция октября интересна.,B1
November,nоvиḿbиr,Ноябрь,Understanding november is essential for success.,Понимание ноября важно для успеха.,B2
December,dиcиḿbиr,Декабрь,The december played an important role in the project.,Декабрь сыграл важную роль в проекте.,B2
Monday,mоnd́эй,Понедельник,The concept of monday is interesting.,Концепция понедельника интересна.,B1
Tuesday,tуиśdэй,Вторник,The concept of tuesday is interesting.,Концепция вторника интересна.,B1
Wednesday,виdnи́sdэй,Среда,Modern wednesday has many applications.,У современной среды много приложений.,B2
Thursday,суrśdэй,Четверг,Understanding thursday is essential for success.,Понимание четверга необходимо для успеха.,B2
Friday,frиd́эй,Пятница,Modern friday has many applications.,Современная пятница имеет много приложений.,B1
Saturday,sэtуŕdэй,Суббота,Modern saturday has many applications.,В современной субботе много приложений.,B2
Sunday,sуnd́эй,Воскресенье,Modern sunday has many applications.,В современном воскресенье много приложений.,B1
summer,sуmḿиr,лето,The heat of summer,Жара лета,B1
autumn,эуtу́mn,осень,Autumn leaves,Осенние листья,B1
winter,виnt́иr,зима,"When they retired, they hoped to winter in florida.","Когда они вышли на пенсию, они надеялись зиму во Флориде.",B1
food,fоо́d,еда,The innkeeper brought them food and drink.,Художник гостиница принесла им еду и напиток.,A2
breakfast,brиэḱfэst,завтрак,You should put more protein in her breakfast so she will grow.,"Вы должны положить больше белка в ее завтрак, чтобы она расти.",B2
lunch,lуńч,обед,After the funeral there was a lunch for those who didn't go to the cemetery.,"После похорон был обед для тех, кто не пошел на кладбище.",A2
dinner,dиnńиr,ужин,Give the dog its dinner.,Дайте собаке ужин.,B1
supper,sуpṕиr,ужин,A fish supper; a pizza supper,Рыбный ужин; Пицца -ужин,B1
bottle,bоtt́lи,бутылка,Beer is often sold in bottles.,Пиво часто продается в бутылках.,B1
milk,mиĺk,молоко,Table three ordered three milks. (formally: the guests at table three ordered three glasses of milk.),В таблице три заказали три миллиона. (Формально: гости за столом три заказали три стакана молока.),A2
meat,mиэ́t,мясо,A large portion of domestic meat production comes from animals raised on factory farms.,"Большая часть домашнего производства мяса происходит от животных, выращенных на заводских фермах.",A2
sugar,sуǵэr,сахар,He usually has his coffee white with one sugar.,У него обычно есть кофе с одним сахаром.,A2
cake,cэḱи,торт,A johnnycake,Johnnycake,A2
cheese,чии́sи,сыр,"Say ""cheese""! ... and there we are!","Скажи ""Сыр""! ... и вот мы!",B1
fruit,frу́иt,фрукты,His long nights in the office eventually bore fruit when his business boomed and he was given a raise.,"Его долгие ночи в офисе в конечном итоге имели плоды, когда его бизнес разбился, и ему дали повышение.",A2
bread,brи́эd,хлеб,The concept of bread is interesting.,Концепция хлеба интересна.,A2
tea,tи́э,чай,Darjeeling tea is grown in india.,Чай Дарджилинг выращивается в Индии.,A1
soup,sоу́p,суп,Pho is a traditional vietnamese soup.,Фо - это традиционный вьетнамский суп.,A2
pasta,pэśtэ,паста,The concept of pasta is interesting.,Концепция пасты интересна.,A2
beer,bии́r,пиво,Beer is brewed all over the world.,Пиво заваривается по всему миру.,A2
apple,эpṕlи,яблоко,The apple played an important role in the project.,Apple сыграло важную роль в проекте.,A2
cherry,чиŕrй,вишня,The concept of cherry is interesting.,Концепция вишни интересна.,B1
orange,оrэńgи,апельсин,Modern orange has many applications.,Современный апельсин имеет много применений.,B1
juice,jуи́cи,сок,Squeeze the orange and some juice will come out.,"Сожмите апельсин, и выйдет немного сока.",A2
force,fоŕcи,сила,"The force of an appeal, an argument, or a contract","Сила апелляции, аргумент или договор",A2
power,pов́иr,власть,The mechanical powers,Механические силы,A2
top,tо́p,вершина,His kite got caught at the top of the tree.,Его воздушный змей был пойман на вершине дерева.,A1
size,sиźи,размер,The size of the building seemed to have increased since i was last there.,"Размер здания, казалось, увеличился с тех пор, как я был там в последний раз.",A2
half,hэĺf,половина,I ate the slightly smaller half of the apple.,Я съел немного меньшую половину яблока.,A2
speed,spи́иd,скорость,How does usain bolt run at that speed?,Как USAIN Bolt работает на такой скорости?,A2
luck,lуćk,удача,Gilbert had some bad luck yesterday — he got pick-pocketed and lost fifty dollars.,Вчера Гилберту не повезло-он получил карман и проиграл пятьдесят долларов.,A2
trouble,trоу́blи,беда,He was in trouble when the rain started.,"У него были проблемы, когда начался дождь.",B1
danger,dэnǵиr,Опасность,There's plenty of danger in the desert.,В пустыне много опасности.,B1
war,вэ́r,война,The war was largely between sunni and shia militants.,Война была в основном между суннитами и шиитскими боевиками.,A1
victory,vиct́оrй,Победа,It was a great victory on the battlefield.,Это была отличная победа на поле битвы.,B1
peace,pиэ́cи,мир,Our lounge strives to maintain an environment of peace for the comfort of our customers.,Наш лаундж стремится поддерживать среду мира для комфорта наших клиентов.,A2
holiday,hоlи́dэй,праздничный день,Today is a wiccan holiday!,Сегодня праздник Виккана!,B1
web,ви́b,веб -,Some of that content is now only available on the web.,Некоторые из этого контента теперь доступны только в Интернете.,A1
mail,mэи́l,почта,Don't forget to pick up the mail on your way.,Не забудьте забрать почту на вашем пути.,A2
world,воŕld,мир,"There will always be lovers, till the world’s end.","Там всегда будут любовники, до конца мира.",A2
kingdom,kиnǵdоm,королевство,The kingdom of the dead,Королевство мертвых,B1
city,cиt́й,город,São paulo is the largest city in south america.,Сан -Паулу - крупнейший город в Южной Америке.,A2
place,plэ́cи,место,I'm in a strange place at the moment.,Я сейчас в странном месте.,A2
school,sчо́оl,школа,The divers encountered a huge school of mackerel.,Дайверы столкнулись с огромной школой скумбрии.,B1
lesson,lиsśоn,урок,In our school a typical working week consists of around twenty lessons and ten hours of related laboratory work.,В нашей школе типичная рабочая неделя состоит из примерно двадцати уроков и десяти часов связанной лабораторной работы.,B1
hospital,hоspи́tэl,больница,The results were surprisingly hospital.,Результаты были на удивление больницей.,B2
job,jо́b,работа,A job half done is hardly done at all.,Наполовину выполненная работа вряд ли сделана вообще.,A1
market,mэrḱиt,рынок,The privilege to hold a weekly market was invaluable for any feudal era burgh.,Привилегия провести еженедельный рынок была неоценимой для любого феодальной эпохи.,B1
street,strи́иt,улица,Walk down the street until you see a hotel on the right.,"Прогуляйтесь по улице, пока не увидите отель справа.",B1
road,rоэ́d,дорога,We travelled to the seaside by road.,Мы поехали на приморье по дороге.,A2
town,tов́n,город,This town is really dangerous because these youngsters have beretta handguns.,"Этот город действительно опасен, потому что у этих молодых людей есть пистолеты Беретты.",A2
shop,шо́p,магазин,This is where i do my weekly shop.,Здесь я делаю свой еженедельный магазин.,A2
money,mоńий,деньги,Before colonial times cowry shells imported from mauritius were used as money in western africa.,"Перед колониальными временами, импортируемыми из Маврикия, импортируемые раковины Cowry, в качестве денег в Западной Африке.",A2
price,prи́cи,цена,I paid a high price for my folly.,Я заплатил высокую цену за свою глупость.,A2
home,hоḿи,дом,The home of the pine,Дом сосны,A2
house,hоу́sи,дом,This is my house and my family's ancestral home.,Это мой дом и наследственный дом моей семьи.,A2
castle,cэst́lи,замок,The castle played an important role in the project.,Замок сыграл важную роль в проекте.,B1
kitchen,kиtч́иn,кухня,The concept of kitchen is interesting.,Концепция кухни интересна.,B1
bedroom,bиdŕооm,спальня,Please don't enter my bedroom without knocking.,"Пожалуйста, не входите в мою спальню, не стуча.",B1
toilet,tоиĺиt,туалет,"Sorry, i was in the toilet.","Извините, я был в туалете.",B1
bathroom,bэсŕооm,ванная комната,Most americans don't know 'wc' and many brits mock 'bathroom' but almost everyone understands 'toilet' or 'lavatory'.,"Большинство американцев не знают «WC» и многие британцы издеваются над «ванной комнатой», но почти все понимают «туалет» или «туалет».",B2
word,воŕd,слово,Mum's the word,Мама - слово,A2
message,mиsśэgи,сообщение,We've just received an urgent message from the president.,Мы только что получили срочное сообщение от президента.,B1
speech,spи́ич,речь,It was hard to hear the sounds of his speech over the noise. he had a bad speech impediment.,Было трудно услышать звуки его речи над шумом. У него было плохое препятствие речи.,B1
song,sоńg,песня,Thomas listened to his favorite song on the radio yesterday.,Вчера Томас слушал свою любимую песню по радио.,A2
name,nэḿи,имя,I've never liked the name my parents gave me so i changed it at the age of twenty.,"Мне никогда не нравилось имя, которое мои родители дали мне, поэтому я изменил его в возрасте двадцати лет.",A2
lastname,lэstńэmи,фамилия,Modern lastname has many applications.,У современного Lastname много приложений.,B2
nickname,nиckńэmи,прозвище,The concept of nickname is interesting.,Концепция прозвища интересна.,B2
fun,fу́n,веселье,"Hey, don't get bent out of shape over it; i was just funning you.","Эй, не согнуйся из формы над этим; Мне просто тебя весело.",A1
truth,trу́с,правда,The truth is that our leaders knew a lot more than they were letting on.,"Правда в том, что наши лидеры знали намного больше, чем они давали.",A2
joke,jоḱи,шутить,It was a joke!,Это была шутка!,A2
language,lэngу́эgи,язык,Deaf and mute people communicate using languages like asl.,"Глухие и немые люди общаются, используя такие языки, как ASL.",B2
game,gэḿи,игра,He's in the securities game somehow.,Он как -то в игре ценных бумаг.,A2
king,kиńg,король,Henry viii was the king of england from 1509 to 1547.,Генрих VIII был королем Англии с 1509 по 1547 год.,A2
queen,qуи́иn,королева,The queen played an important role in the project.,Королева сыграла важную роль в проекте.,A2
god,gо́d,бог,"Dawn believes in god, but willow believes in multiple gods and goddesses.","Рассвет верит в Бога, но Уиллоу верит в нескольких богов и богинь.",A1
devil,dиv́иl,дьявол,The devil in me wants to let him suffer.,Дьявол во мне хочет позволить ему страдать.,A2
art,эŕt,искусство,There is a debate as to whether graffiti is art or vandalism.,"Существуют споры о том, является ли граффити искусство или вандализм.",A1
hell,hиĺl,ад,The hell played an important role in the project.,Ад сыграл важную роль в проекте.,A2
paradise,pэrэd́иsи,рай,Living in paradise comes with a price.,Жизнь в раю идет с ценой.,B2
do,dо,делать,We’re having a bit of a do on saturday to celebrate my birthday.,"В субботу мы немного делаем, чтобы отпраздновать мой день рождения.",A1
have,hэv́и,иметь,I have a house and a car.,У меня есть дом и машина.,A2
go,gо,идти,It’s your go.,Это ты ходи.,A1
know,knо́в,знать,"Did you know michelle and jack were getting divorced? ― yes, i knew.","Вы знали, что Мишель и Джек развелись? - Да, я знал.",A2
make,mэḱи,делать,What make of car do you drive?,Какую работу с машиной вы водите?,A2
can/could,cэn/ćоуld,может/мог,The can/could played an important role in the project.,Кана/может сыграть важную роль в проекте.,B2
would/should,воуld́/шоу,будет/должен,The would/should played an important role in the project.,Будет/должен сыграть важную роль в проекте.,C1
must,mуśt,должен,"If you'll be out all day, a map is a must.","Если вы будете отсутствовать весь день, карта необходима.",A2
think,сиńk,думать,I'll have a think about that and let you know.,Я подумаю об этом и дам вам знать.,A2
see,sи́и,видеть,I'll see you hang for this!  i saw that they didn't make any more trouble.,"Увидимся, ты держишься за это!  Я видел, что они не стали больше проблем.",A1
come,cоḿи,приходить,She’ll be coming ’round the mountain when she comes [...],"Она придет вокруг горы, когда придет [...]",A2
work,воŕk,работа,We don't have much time. let's get to work piling up those sandbags.,"У нас мало времени. Давайте приступим к работе, накапливая эти мешки с песком.",A2
use,уśи,использовать,The use of torture has been condemned by the united nations.,Использование пыток было осуждено Организацией Объединенных Наций.,A1
want,вэńt,хотеть,What do you want to eat?  i want you to leave.  i never wanted to go back to live with my mother.,"Что ты хочешь съесть?  Я хочу, чтобы ты ушел.  Я никогда не хотел возвращаться, чтобы жить с мамой.",A2
hope,hоṕи,надеяться,I hope you all the best.,"Я надеюсь, что вы всего наилучшего.",A2
find,fиńd,находить,To find leisure; to find means,Найти отдых; найти средства,A2
give,gиv́и,давать,There is no give in his dogmatic religious beliefs.,В его догматических религиозных убеждениях нет.,A2
tell,tиĺl,рассказывать,"All told, there were over a dozen.  can you tell time on a clock?  he had untold wealth.","Все сказали, что было более десятка.  Можете ли вы рассказать время на часах?  У него было невыразимое богатство.",A2
call,cэĺl,вызов,I received several calls today.,Я получил несколько звонков сегодня.,A2
need,nии́d,нуждаться,"I've always tried to have few needs beyond food, clothing and shelter.","Я всегда старался иметь мало потребностей, кроме еды, одежды и укрытия.",A2
wash,вэ́ш,стирать,I'm going to have a quick wash before coming to bed.,"Я собираюсь быстро стирать, прежде чем ложиться спать.",A2
play,plэ́й,играть,Children learn through play.,Дети учатся в игре.,A2
try,tŕй,пытаться,I gave unicycling a try but i couldn’t do it.,"Я попробовал один велосипед, но я не мог этого сделать.",A1
live,lиv́и,жить,He's not expected to live for more than a few months.,Он не ожидается жить более чем несколько месяцев.,A2
show,шо́в,показывать,Art show;  dog show,Арт -шоу;  собачья шоу,A2
ask,эśk,просить,"I know this is a big ask, but …","Я знаю, что это большая справка, но ...",A1
help,hиĺp,помощь,I need some help with my homework.,Мне нужна помощь с домашним заданием.,A2
talk,tэĺk,разговаривать,Although i don't speak chinese i managed to talk with the villagers using signs and gestures.,"Хотя я не говорю по -китайски, мне удалось поговорить с жителями деревни, используя знаки и жесты.",A2
begin,bиǵиn,начинать,"I began playing the piano at the age of five.   now that everyone is here, we should begin the presentation.","Я начал играть на пианино в возрасте пяти лет.   Теперь, когда все здесь, мы должны начать презентацию.",A2
become,bиcо́mи,становиться,It hath becomen so that many a man had to sterve.,"Это стало так, что многим человеку приходилось выдержать.",B1
build,bуи́ld,строить,Rugby players are of sturdy build.,Игроки по регби имеют прочную сборку.,A2
start,stэ́rt,начинать,The movie was entertaining from start to finish.,Фильм был интересным от начала до конца.,A2
let,lи́t,позволять,"After he knocked for hours, i decided to let him come in.","После того, как он постучал часами, я решил позволить ему войти.",A1
write,вrи́tи,писать,How many writes per second can this hard disk handle?,Сколько записей в секунду может эта жесткая диск?,A2
keep,kии́p,держать,He works as a cobbler's apprentice for his keep.,Он работает учеником сапожника за его сохранение.,A2
hold,hоĺd,держать,Keep a firm hold on the handlebars.,Держите твердый удержание руля.,A2
repeat,rиpи́эt,повторить,We gave up after the third repeat because it got boring.,"Мы сдались после третьего повторения, потому что он стал скучным.",B1
put,pу́t,помещать,He bought a january '08 put for procter and gamble at 80 to hedge his bet.,"Он купил январь '08 для Procter и Gamble в 80, чтобы застраховать свою ставку.",A1
end,иńd,конец,"At the end of the road, turn left.",В конце дороги поверните налево.,A1
study,stу́dй,изучать,I need to study my biology notes.,Мне нужно изучить мои биологические заметки.,A2
hear,hиэ́r,слышать,"I was deaf, and now i can hear.","Я был глухим, и теперь я слышу.",A2
teach,tиэ́ч,преподавание,Can you teach me to sew?  can you teach sewing to me?,Вы можете научить меня шить?  Можете ли вы научить мне шить?,A2
close,clо́sи,закрывать,We owe them our thanks for bringing the project to a successful close.,Мы должны им благодарим за успешное закрытие проекта.,A2
open,оpи́n,открыть,An open hand; an open flower,Открытая рука; открытый цветок,A2
add,эd́d,добавлять,"When the player has fought the boss for one minute, two adds will arrive from the back and must be dealt with.","Когда игрок сражался с боссом в течение одной минуты, сзади поступит два добавления, и с ним нужно разобраться.",A1
love,lоv́и,любовь,"Hello love, how can i help you?","Привет, любовь, чем я могу тебе помочь?",A2
believe,bиlи́иvи,полагать,I believe there are faeries.,"Я считаю, что есть фей.",B1
read,rиэ́d,читать,His thrillers are always a gripping read.,Его триллеры всегда захватывающее чтение.,A2
pay,pэ́й,платить,Many employers have rules designed to keep employees from comparing their pays.,"У многих работодателей есть правила, призванные не дать сотрудникам сравнивать свои оплаты.",A1
understand,уndиrśtэnd,понимать,I'm sorry. i don't understand.,Мне жаль. я не понимаю.,C1
learn,lиэ́rn,учиться,Learn from one's mistakes,Учиться на своих ошибках,A2
sit,sи́t,сидеть,"After a long day of walking, it was good just to sit and relax.","После долгого дня ходьбы было хорошо, просто сидеть и расслабиться.",A1
win,ви́n,победить,To win the jackpot in a lottery;  to win a bottle of wine in a raffle,Выиграть джекпот в лотерею;  Чтобы выиграть бутылку вина в лотереи,A1
lose,lоśи,терять,We managed to lose our pursuers in the forest.,Нам удалось потерять преследователей в лесу.,A2
speak,spи́эk,говорить,Corporate speak; it speak.,Корпоративные высказывания; это говорит.,A2
stop,stо́p,останавливаться,They agreed to meet at the bus stop.,Они согласились встретиться на автобусной остановке.,A2
walk,вэĺk,ходить,To walk briskly for an hour every day is to keep fit.,Было быстро ходить в течение часа каждый день - это поддерживать в форме.,A2
cut,cу́t,резать,He made a fine cut with his sword.,Он сделал прекрасную пореза со своим мечом.,A1
wait,вэи́t,ждать,I had a very long wait at the airport security check.,У меня было очень долгое ожидание на проверке безопасности в аэропорту.,A2
kill,kиĺl,убийство,"The assassin liked to make a clean kill, and thus favored small arms over explosives.","Убийцу любили делать чистое убийство и, таким образом, предпочитали стрелковые руки над взрывчаткой.",A2
remember,rиmиḿbиr,помнить,Please remember this formula!,"Пожалуйста, помните эту формулу!",B2
die,dи́и,умирать,He died a hero's death.,Он умер смертью героя.,A1
answer,эnsв́иr,отвечать,Her answer to his proposal was a slap in the face.,Ее ответ на его предложение было пощечиной.,B1
fight,fиǵht,драться,"A wounded animal will fight like a maniac, relentless, savage and murderous.","Раненое животное будет сражаться, как маньяк, неустанный, дикий и убийственный.",A2
pull,pуĺl,тянуть,He gave the hair a sharp pull and it came out.,"Он резко вытащил волосы, и это вышло.",A2
paint,pэи́nt,краска,"The nimrods are strong on the outside, but not very good in the paint.","Нимроды сильны снаружи, но не очень хороши в краске.",A2
eat,иэ́t,есть,What’s eating you?,Что тебя ест?,A1
listen,lиst́иn,слушать,Give the motor a listen and tell me if it sounds off.,"Дайте мотору послушать и скажите мне, звучит ли это.",B1
smile,smи́lи,улыбка,He always puts a smile on my face.,Он всегда выкладывает улыбку на моем лице.,A2
save,sэv́и,сохранять,The goaltender made a great save.,Вратарь сделал отличный спасбросок.,A2
choose,чоо́sи,выбирать,Understanding choose is essential for success.,Понимание выбора необходимо для успеха.,B1
sleep,slи́иp,спать,You should sleep 8 hours a day.,Вы должны спать 8 часов в день.,A2
travel,trэv́иl,путешествовать,Space travel,Космическое путешествие,B1
fill,fиĺl,наполнять,The bucket filled with rain;  the sails fill with wind,Ведро заполнено дождем;  Парусы заполняются ветром,A2
more/most,mоrи/́mоst,больше/больше всего,Understanding more/most is essential for success.,Понимание большего/больше всего важно для успеха.,B2
less/least,lиss/ĺиэst,меньше/по меньшей мере,The less/least played an important role in the project.,Меньше/наименьшее сыграло важную роль в проекте.,C1
right,rиǵht,верно,A right line,Правильная линия,A2
left,lиf́t,левый,The political left is holding too much power.,Политические левые держат слишком много власти.,A2
new,nи́в,новый,"Out with the old, in with the new.","Со старым, в новом.",A1
good/better/best,gооd/b́иttи,Хорошо/лучше/лучше,The good/better/best played an important role in the project.,Хорошее/лучше/лучшее сыграло важную роль в проекте.,C1
bad/worse/worst,bэd/во́rsи/,Плохо/хуже/хуже,Understanding bad/worse/worst is essential for success.,Понимание плохого/худшего/худшее необходимо для успеха.,C1
usual,уsу́эl,обычный,I'll just have the usual.,У меня просто будет обычное.,A2
long,lоńg,длинный,Every uptick made the longs cheer.,Каждый подъем заставил долго болеть.,A2
high,hиǵh,высокий,It was one of the highs of his career.,Это был один из максимумов в его карьере.,A2
little,lиtt́lи,маленький,Can i try a little of that sauce?,Могу я попробовать немного этого соуса?,B1
great,grи́эt,большой,Newton and einstein are two of the greats of the history of science.,Ньютон и Эйнштейн являются двумя великими людьми науки.,A2
each,иэ́ч,каждый,The apples cost 50 cents each.,Яблоки стоят 50 центов каждый.,A2
old,оĺd,старый,A civilised society should always look after the old in the community.,Цивилизованное общество всегда должно заботиться о старом в обществе.,A1
big,bи́g,большой,"Elephants are big animals, and they eat a lot.","Слоны - крупные животные, и они много едят.",A1
same,sэḿи,такой же,Are you the same person who phoned me yesterday?,"Вы тот же человек, который позвонил мне вчера?",A2
next,nиќсt,следующий,"Next, please, don't hold up the queue!","Далее, пожалуйста, не держите очередь!",A2
small,smэ́ll,маленький,A small group.,Небольшая группа.,A2
young,йоу́ng,молодой,The young of today are well-educated.,Молодые современности хорошо образованы.,A2
beautiful,bиэуt́иfуl,красивый,"Hey, beautiful!","Эй, красиво!",B2
cheap,чиэ́p,дешевый,The cheap trick of hiding deadly lava under pushable blocks,Дешевый трюк скрытия смертельной лавы под настойчивыми блоками,A2
dark,dэŕk,темный,The room was too dark for reading.,Комната была слишком темной для чтения.,A2
true,trу́и,истинный,He trued the spokes of the bicycle wheel.,Он выпал спицы велосипедного колеса.,A2
hard,hэŕd,жесткий,The prisoners were sentenced to three years' hard.,Заключенные были приговорены к трем годам.,A2
soft,sоf́t,мягкий,My head sank easily into the soft pillow.,Моя голова легко упала в мягкую подушку.,A2
far,fэ́r,далеко,He went to a far land.,Он пошел на дальнюю землю.,A1
final,fиńэl,финал,Final solution;   the final day of a school term,Окончательное решение;   последний день школьного срока,A2
low,lо́в,низкий,Economic growth has hit a new low.,Экономический рост достиг нового минимума.,A1
easy,иэśй,легкий,"Now that i know it's taken care of, i can rest easy at night.","Теперь, когда я знаю, что об этом позаботились, я могу легко отдохнуть по ночам.",A2
difficult,dиffи́cуlt,трудный,"However, the difficult weather conditions will ensure yunnan has plenty of freshwater.","Тем не менее, сложные погодные условия обеспечат у Юньнана много пресной воды.",B2
strong,strо́ng,сильный,A big strong man; jake was tall and strong,Большой сильный человек; Джейк был высоким и сильным,B1
quick,qуи́ck,быстрый,He's a quick runner.,Он быстрый бегун.,A2
short,шоŕt,короткий,38 short suits fit me right off the rack.,38 Короткие костюмы подходят мне прямо со стойки.,A2
slow,slо́в,медленный,A slow train;  a slow computer,Медленный поезд;  медленный компьютер,A2
dear,dиэ́r,дорогой,"My cousin is such a dear, always drawing me pictures.","Мой двоюродный брат такой дорогой, всегда рисует мне фотографии.",A2
glad,glэ́d,радостный,I'm glad the rain has finally stopped.,"Я рад, что дождь наконец остановился.",A2
happy,hэṕpй,счастливый,Music makes me feel happy.,Музыка заставляет меня чувствовать себя счастливым.,A2
drunk,drу́nk,пьяный,Drunk with power he immediately ordered a management reshuffle.,Пьяный с властью он сразу же заказал перестановку управления.,A2
sad,sэ́d,грустный,I can't believe you use drugs; you're so sad!,"Я не могу поверить, что вы употребляете наркотики; Ты такой грустный!",A1
dead,dиэ́d,мертвый,Have respect for the dead.,Уважать мертвых.,A2
ready,rиэ́dй,готовый,The porridge is ready to serve.,Каша готова служить.,A2
fake,fэḱи,фальшивый,To fake a marriage,Чтобы подделать брак,A2
fast,fэśt,быстрый,That rope is dangerously loose. make it fast!,Эта веревка опасно свободно. Сделай это быстро!,A2
main,mэи́n,основной,He mains the same character as me in that game.,"Он начинает тот же персонаж, что и я в этой игре.",A2
hot,hо́t,горячий,He forgot that the frying pan was hot and burned his hand.,"Он забыл, что сковорода была горячей, и сжег его руку.",A1
warm,вэŕm,теплый,The tea is still warm.,Чай все еще теплый.,A2
full,fуĺl,полный,The jugs were full to the point of overflowing.,Кувшины были полны до такой степени переполнены.,A2
heavy,hиэ́vй,тяжелый,"With his wrinkled, uneven face, the actor always seemed to play the heavy in films.","С его морщинистым, неровным лицом актер всегда, казалось, играл в фильмах.",A2
black,blэ́ck,черный,At this point black makes a disastrous move.,На этом этапе черное делает катастрофический ход.,A2
white,вhи́tи,белый,Write in black ink on white paper.,Напишите черными чернилами на белой бумаге.,A2
red,rи́d,красный,The girl wore a red skirt.,Девушка носила красную юбку.,A1
green,grи́иn,зеленый,The former flag of libya is fully green.,Бывший флаг Ливии полностью зеленый.,A2
blue,blу́и,синий,The boys in blue marched to the pipers.,Мальчики в голубых проходили к Пайперсам.,A2
yellow,йиlĺов,желтый,"2012 march 2, andrew grice, ""yellow rebels take on clegg over nhs 'betrayal'"", the independent","2 марта 2012 года, Эндрю Грайс, «Желтые повстанцы берут на Клегг над NHS« Предательством »», «Независимый",B1
gray/grey,grэй/́grий,серый/серый,Understanding gray/grey is essential for success.,Понимание серого/серого необходимо для успеха.,B2
pink,pиńk,розовый,The pink played an important role in the project.,Розовый сыграл важную роль в проекте.,A2
clean,clи́эn,чистый,This place needs a clean.,Это место нуждается в чистоте.,A2
dirty,dиŕtй,грязный,"Despite a walk in the rain, my shoes weren't too dirty.","Несмотря на прогулку под дождем, мои туфли не были слишком грязными.",A2
nice,nиćи,хороший,What is a nice person like you doing in a place like this?,"Что такой хороший человек, как ты в таком месте?",A2
modern,mоdи́rn,современный,"Our online interactive game is a modern approach to teaching about gum disease.  although it was built in the 1600s, the building still has a very modern look.","Наша онлайн -интерактивная игра - это современный подход к обучению заболеваниям десен.  Хотя он был построен в 1600 -х годах, здание все еще имеет очень современный вид.",B1
fresh,frи́ш,свежий,He followed the fresh hoofprints to find the deer.,"Он последовал за свежими копытными отпечатками, чтобы найти оленя.",A2
